,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
3484,031203914X,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.50  \n\n\n   \n     56 Used from $1.43         6 New from $6.09         8 Collectible from $3.98      ', '  Paperback  \n $26.19  \n\n\n   \n     2 Used from $25.00         1 Collectible from $16.00      ', '  Mass Market Paperback  \n $5.45  \n\n\n   \n     55 Used from $1.00         2 New from $7.50         1 Collectible from $6.05      ', '  Audio CD  \n $6.71  \n\n\n   \n     1 New from $6.71      '], '031203914X')",26.19,14.5,Probable Cause,St. Martin's Press,1,1990,Ridley Pearson,3.86,"When a mindless act of violence changed his life forever, James Dewitt decided to become a cop. Carmel's lone police detective, he had hoped his new post would ease the memories of his wife's death . . . until the man he blames for it appears -- hot on the heels of an ingeniously disguised murder. Shackled by a web of red tape and corruption, Dewitt now fights desperately to solve a string of murders cleverly staged to look like suicides. Submerged in the deranged world of the psychopathic mind, Dewitt struggles to outwit the killer -- the man they call the ""trapper"" -- before it's too late.",,288.0,923,12,49,245,364,253
3485,0330463365,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.56  \n\n\n   \n     19 Used from $4.93      ', '  Paperback  \n $13.39  \n\n\n   \n     71 Used from $1.70         12 New from $6.95      '], '0330463365')",13.39,10.56,"The Loving Cup (Poldark, #10)",Pan Books,15,2008,Winston Graham,4.29,"A silver cup lies half-forgotten in a dank cave amongst a pile of stolen goods. Yet the tiny vessel and its inscription—<i>Amor gignit amorem</i>—haunts the lives of the feuding Poldark and Warleggan families, as Ross, Demelza, and the ambitious and powerful Sir George Warleggan watch their children make the decisions that will shape their destinies. For Jeremy and Clowance, and for arrogant, cynical Valentine Warleggan, these are troubled and momentous times.",,580.0,4281,22,46,553,1711,1949
3488,0786243864,"(['  Kindle  \n $0.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.36  \n\n\n   \n     1 Used from $10.36      ', '  Paperback  \n $3.00  \n\n\n   \n     69 Used from $1.18         12 New from $2.00      ', '  Mass Market Paperback  \n $3.53  \n\n\n   \n     5 Used from $1.97         1 New from $25.95      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.26      ', '  Board book  \n $8.96  \n\n\n   \n     5 Used from $8.75      '], '0786243864')",3.0,10.36,Daisy Miller,Thorndike Press,4,2002,Henry James,3.38,"Originally published in <i>The Cornhill Magazine</i> in 1878 and in book form in 1879, <i>Daisy Miller</i> brought Henry James his first widespread commercial and critical success. The young Daisy Miller, an American on holiday with her mother on the shores of Switzerland’s Lac Leman, is one of James’s most vivid and tragic characters. Daisy’s friendship with an American gentleman, Mr. Winterbourne, and her subsequent infatuation with a passionate but impoverished Italian bring to life the great Jamesian themes of Americans abroad, innocence versus experience, and the grip of fate. As Elizabeth Hardwick writes in her Introduction, Daisy Miller “lives on, a figure out of literature who has entered history as a name, a vision.”",,192.0,27246,883,3567,10740,8552,3504
3491,0743570502,"(['  eTextbook  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.49 - $13.49  \n\n\n   \n     178 Used from $0.99         35 New from $6.20         19 Collectible from $2.99      ', '  Paperback  \n $9.76 - $22.49  \n\n\n   \n     37 Used from $3.91         18 New from $18.50      ', '  Audio CD  \n $5.99  \n\n\n   \n     23 Used from $0.98         11 New from $4.69      '], '0743570502')",9.76,6.49,The War Within: A Secret White House History 2006-08 (Bush at War 4),Simon & Schuster Audio,9,2008,Bob Woodward,3.73,"After three New York Times bestsellers on the Bush administration's wars in Afghanistan and Iraq, Bob Woodward once again pulls back the curtain on Washington to reveal the inner workings of a government at war.",,6.0,1680,15,97,543,689,336
3492,0778325938,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.95  \n\n\n   \n     87 Used from $1.78         15 New from $10.94         12 Collectible from $7.89      ', '  Paperback  \n $14.98  \n\n\n   \n     16 Used from $3.63         10 New from $14.48      ', '  Mass Market Paperback  \n $6.35  \n\n\n   \n     20 Used from $2.49      ', '  Audio CD  \n $19.99  \n\n\n   \n     2 Used from $7.95         5 New from $13.76      '], '0778325938')",14.98,15.95,"A Perfect Evil (Maggie O'Dell, #1)",Mira Books,8,2008,Alex Kava,4.03,"<strong>
  <em>""O'Dell could be Reacher's long-lost twin.""</em>
</strong><strong> --Lee Child<br /><br />Rediscover where it all began for Maggie O'Dell in this intense thriller by </strong><strong>
  <em>New York Times</em>
</strong><strong> bestselling author Alex Kava.</strong><br /><br />On July 17, a convicted serial killer, Ronald Jeffreys was executed for three heinous murders. He went to his grave with a terrible truth no one would listen to.<br /><br />Three months later another body is found killed in the same style as Jeffreys' victims.<br /><br />Sheriff Nick Morelli knows he isn't equipped to handle the killer who is terrorizing his small Nebraska community. He's grateful when the FBI sends one of their best criminal profilers, special agent Maggie O'Dell. Maggie quickly recognizes this is someone who has killed before.<br /><br />When another victim is found dead and a third kidnapped, Nick and Maggie realize they're running out of time. And the terrible truth becomes clear. Ronald Jeffreys may have been convicted of crimes he didn't commit.<br /><br /><em>Originally published in 2000</em><br /><br /><br />""Meet Kava's FBI special agent Maggie O'Dell. But beware--it could be the start of a new addiction."" --<em>Peterborough Evening Telegraph, UK </em><br /><br />""Kava's writing is reminiscent of Patricia Cornwell in her prime."" --<em>Mystery Ink</em><br /><br />""This debut thriller pumps the suspense out. Maggie is gutsy and appealing as an FBI agent facing constant danger."" --<em>Library Journal</em><br /><br />""Kava proves her mastery of the thriller."" --<em>BookPage</em>",,475.0,17054,270,624,3509,6633,6018
3495,1598181661,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $32.45  \n\n\n   \n     1 Used from $34.37         9 New from $32.45      ', '  Paperback  \n $5.89  \n\n\n   \n     3 Used from $8.08         1 New from $5.89      ', '  Mass Market Paperback  \n $3.58  \n\n\n   \n     12 Used from $3.42      ', '  Audio CD  \n $5.48 - $12.18  \n\n\n   \n     6 Used from $5.48         3 New from $9.97      ', '  Pocket Book  \n $7.74 - $9.29  \n\n\n   \n     33 Used from $1.82         25 New from $7.45      '], '1598181661')",5.89,32.45,"Paradise Lost by John Milton, Poetry, Classics",Aegypan,1,2006,John Milton,3.82,"Milton takes us immediately into the action of the tale, gliding over what we all know from the Bible, developing the story's background as he goes. We learn how Satan came to be in Hell after the war in heaven, see warfare and the ambitions of the angels -- come to know God's wisdom, power, and His wrath. Milton gives us characters who personify Death, Chaos, Mammon, and Sin, and they interact with more traditional figures -- Adam, Eve, Satan, and, yes, God. If you have not read Paradise Lost, it's likely that you're already familiar with a lot of it -- it's a tale that's become a part of our culture. To understand it truly, you need to read this book. The writer and critic Samuel Johnson wrote that Paradise Lost shows off ""[Milton's] peculiar power to astonish"" and that ""[Milton] seems to have been well acquainted with his own genius, and to know what it was that Nature had bestowed upon him more bountifully than upon others: the power of displaying the vast, illuminating the splendid, enforcing the awful, darkening the gloomy, and aggravating the dreadful.""",,296.0,133593,5254,11188,30873,41650,44628
3496,0765309513,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $33.95  \n\n\n   \n     21 Used from $4.00         4 New from $30.00         7 Collectible from $16.00      ', '  Mass Market Paperback  \n $6.72  \n\n\n   \n     20 Used from $2.75      ', '  MP3 CD  \n $17.86  \n\n\n   \n     2 New from $14.97      '], '0765309513')",6.72,33.95,"Schism (Saga of the Skolian Empire, #10; The Triad, #1)",Tor Books,3,2004,Catherine Asaro,3.81,"In 2002, Catherine Asaro won the Nebula Award for <i>The Quantum Rose</i>, the sixth novel in her Saga of the Skolian Empire. This very same novel was also named Best SF Novel by the <i>Romantic Times</i>. <i>Schism: Part One of Triad</i> is the tenth novel in this multiple award-winning series, and represents an excellent entry point into the series.<br /><br />For<i> Schism</i> harkens back to the early years of the Skolian Empire, back to the beginning of the war between Skolia and the Euban Traders. Twenty-three years have passed since the fateful vote in the Skolian Assembly that Roca missed in Skyfall. It created the first open hostility between Eube and Skolia, which has only deepened over the ensuing years. <br /><br />Now, Eube senses an opportunity, for strife has riven the first family of the Skolian Empire. Sauscony, the daughter of Roca and Eldrinson, is ready to seek her fortune as an officer-in-training in the Skolian military. When her father forbids her to undertake such a dangerous path, a wedge is formed as Soz chooses duty over family. Eube hopes to make this permanent, a divide that will leave the Skolian Empire ripe for conquest. And they're willing to kill anyone to make it happen.<br /><br />Revel in the latest adventure of this Nebula Award-winning series.<br />",,400.0,708,14,30,196,305,163
3498,1594832048,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $28.00  \n\n\n   \n     15 Used from $5.99         18 New from $19.99         1 Collectible from $15.99      ', '  Paperback  \n $11.59  \n\n\n   \n     62 Used from $1.17         17 New from $9.00      ', '  Mass Market Paperback  \n $23.74  \n\n\n   \n     2 Used from $23.74      ', '  Audio CD  \n $30.00  \n\n\n   \n     7 Used from $4.44         2 New from $30.00      '], '1594832048')",11.59,28.0,"Look Great, Feel Great: 12 Keys to Enjoying a Healthy Life Now",Hachette Audio,0,2007,Joyce Meyer,4.12,"Our bodies are our God-given instruments for experiencing a fulfilling life, for doing good works, and for spiritual development. God's plan for each of us involves maintaining a sound mind, body, and soul. In her latest book, Joyce addresses the ?self-esteem drought? that leads us to bad health habits. She includes practical tools that help make complete self-maintenance an easy part of any daily routine. Revealing 12 keys to reclaiming our health through such things as exercise, eating habits, soul care, and responsibility, Joyce uses her engaging style to reveal how simple the restoration process really is. <br /><br />Key 1 - Finding the strength for the heavy lifting<br />Key 2 - Learning to love your body<br />Key 3 - Mastering metabolism <br />Key 4 - Essential Exercise<br />Key 5 - Balanced eating<br />Key 6 - Water your soul<br />Key 7 - Mindful eating<br />Key 8 - Curb your spiritual hunger<br />Key 9 - Necessary food and necessary sleep<br />Key 10 - Right vision<br />Key 11 - Make it easy<br />Key 12 - Take responsibility<br /><br /><br /> Additionally, Joyce will provide helpful resources, like the ""Ounce of Prevention Checklist"", for self-maintenance.",,0.0,1180,18,65,219,336,542
3500,0393330281,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.00  \n\n\n   \n     46 Used from $1.47         21 New from $8.13         6 Collectible from $9.92      ', '  Paperback  \n $12.15  \n\n\n   \n     82 Used from $1.37         23 New from $6.81         1 Collectible from $177.00      '], '0393330281')",12.15,16.0,Making Globalization Work,W. W. Norton  Company,17,2007,Joseph E. Stiglitz,3.85,"Building on the international bestseller <em>Globalization and Its Discontents</em>, Joseph E. Stiglitz offers here an agenda of inventive solutions to our most pressing economic, social, and environmental challenges, with each proposal guided by the fundamental insight that economic globalization continues to outpace both the political structures and the moral sensitivity required to ensure a just and sustainable world. As economic interdependence continues to gather the peoples of the world into a single community, it brings with it the need to think and act globally. This trenchant, intellectually powerful, and inspiring book is an invaluable step in that process.",,400.0,2041,28,131,486,861,535
3501,3546002288,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.72  \n\n\n   \n     2 Used from $7.72      ', '  Paperback  \n $14.59  \n\n\n   \n     16 Used from $2.67         9 New from $10.59      ', '  Audio CD  \n    \n                        \n    —\n             \n\n\n   \n  '], '3546002288')",14.59,7.72,Biografische Passionen: Marcel Proust.,Claassen Verlag,1,2001,Edmund White,3.81,,,196.0,854,15,43,245,333,218
3502,0073529389,"(['  Hardcover  \n $9.98  \n\n\n   \n     4 Used from $6.00         2 New from $39.80      ', '  Paperback  \n $74.66  \n\n\n   \n     1 New from $74.66      '], '0073529389')",74.66,9.98,Mechanics Of Materials,McGraw-Hill Higher Education,0,2008,Ferdinand P. Beer,3.93,"Intended for the core course in Strength of Materials,this text emphasizes problem solving techniques,analysis,and design theories. Well known for its clarity and accuracy,the book also provides a wealth of problems,including at least four computer problems per chapter. Interactive tutorial software is packaged with each book; each tutorial illustrates a specific concept in the text. <br />",,790.0,638,33,40,121,186,258
3504,1590200314,"(['  Kindle  \n $9.61  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.11  \n\n\n   \n     35 Used from $2.49         6 New from $32.00      ', '  Paperback  \n $16.84  \n\n\n   \n     20 Used from $2.23         13 New from $15.75      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $20.99      '], '1590200314')",16.84,19.11,The Secret History of the World: As Laid Down by the Secret Societies,Harry N. Abrams,104,2008,Jonathan  Black,3.5,"They say that history is written by the victors. But what if history-or what we come to know as history-has been written by the wrong people? What if everything we've been told is only part of the story? In this groundbreaking and now famous work, Mark Booth embarks on an enthralling tour of our world's secret histories. Starting from a dangerous premise-that everything we've known about our world's past is corrupted, and that the stories put forward by the various cults and mystery schools throughout history are true-Booth produces nothing short of an alternate history of the past 3,000 years. From Greek and Egyptian mythology to Jewish folklore, from Christian cults to Freemasons, from Charlemagne to Don Quixote, from George Washington to Hitler- Booth shows that history needs a revolutionary rethink, and he has 3,000 years of hidden wisdom to back it up.",,512.0,3531,311,431,857,1039,893
3506,3446206655,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $36.03  \n\n\n   \n     6 Used from $20.07         3 New from $36.03      ', '  Paperback  \n $9.07  \n\n\n   \n     3 Used from $9.07      ', '  Audio CD  \n $7.31  \n\n\n   \n     2 Used from $7.31      '], '3446206655')",9.07,36.03,"Ergebenst, euer Schurik : Roman",,0,2005,Lyudmila Ulitskaya,4.04,"Gut aussehend, höflich und sanftmütig ist er, ein Traum von einem Mann. Alles tut er den Frauen zu Gefallen - und sie lieben ihn. Alle. Warum also Nein sagen? Zu Matilda, die ihn als Knaben verführte; zur hässlichen, dafür um so bemitleidenswerteren Alja; zu Lena, die er heiratet, weil sie ein uneheliches Kind erwartet; zu seiner gehbehinderten Chefin Valerija und zu all den anderen Frauen, die ihn brauchen. Ein wunderbarer Roman über die Liebe mit einem tragikomischen Helden, dem die wahre Liebe fehlt.",,496.0,968,16,45,176,378,353
3507,0805234195,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $20.57  \n\n\n   \n     10 Used from $16.59         1 Collectible from $81.27      ', '  Paperback  \n $18.00  \n\n\n   \n     55 Used from $5.40         23 New from $11.95      '], '0805234195')",18.0,20.57,The Complete Stories,Schocken Books Inc,3,1971,Franz Kafka,4.34,"La presente edición se propone brindar al lector la posibilidad de acercarse a los textos originales de los relatos de Franz Kafka, libres de las fusiones y ""arreglos"" arbitrarios a que los sometió su amigo y editor Max Brod tras su muerte, y que han circulado desde entonces en numerosas ediciones fragmentarias. El volumen reúne todos aquellos escritos de Kafka que pueden ser incluidos en la categoría de ""relatos"" (sin excluir <i>La metamorfosis</i>, a pesar de su mayor longitud), ""narraciones"", ""piezas narrativas"", ""poemas en prosa"", ""cuentos"" o ""fragmentos"" traducidos a partir de los textos originales, sin filtros ni retoques, utilizando para ello los propios manuscritos del autor y, cuando éstos no se han conservado, las ediciones autorizadas por Kafka. El criterio primordial para elegir estos textos ha sido su pertenencia al mundo de la ficción, es decir, no incluimos escritos autobiográficos, como fragmentos de los Diarios, ni otros escritos, como la <i>Carta al padre</i>, en los que Kafka elabora claramente situaciones personales desde una perspectiva alejada de la literatura.<br />Esta edición, preparada con esmero y gran conocimiento de la obra kafkiana por José Rafael Hernández Arias, ha sido posible gracias a la tendencia iniciada recientemente en los países de lengua alemana de publicar los manuscritos de Kafka en edición facsímil, y su ordenación cronológica nos ofrece un friso de la evolución creadora de este clásico del siglo XX.",,486.0,23685,227,538,2731,7530,12659
3509,0553268961,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $30.99  \n\n\n   \n     1 Used from $20.55         3 New from $20.57      ', '  Paperback  \n $16.16  \n\n\n   \n     5 Used from $4.30         12 New from $9.43      ', '  Mass Market Paperback  \n $6.19  \n\n\n   \n     20 Used from $2.99         1 New from $28.25         1 Collectible from $45.00      ', '  Audio CD  \n $34.99  \n\n\n   \n     2 New from $17.49      ', '  Multimedia CD  \n    \n                             from $19.95                \n\n\n   \n     1 Used from $19.95      '], '0553268961')",16.16,30.99,The Seven Dials Mystery,Bantam,2,1983,Agatha Christie,3.79,"Gerry Wade é por todos conhecido como um inveterado dorminhoco. Aquando de uma festa organizada em Chimneys, o seu grupo de amigos decide pregar-lhe uma partida memorável. Na cidade vizinha compram oito relógios despertadores, com os quais estão decididos a sobressaltá-lo durante o sono. A noite passa mas as suas expectativas saem goradas quando o atroador toque dos relógios não exerce qualquer efeito sobre Gerry. Tinham razão ao esperar um efeito surpreendente, mas não podiam imaginar que fosse tão trágico. Poderá o relógio desaparecido explicar tão fatal mistério?",,224.0,18332,244,1187,5271,7030,4600
3511,1853262285,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $24.00  \n\n\n   \n     22 Used from $5.00         8 New from $17.46         3 Collectible from $14.44      ', '  Paperback  \n $9.56  \n\n\n   \n     24 Used from $1.21      ', '  Mass Market Paperback  \n $6.48  \n\n\n   \n     9 Used from $2.99         1 New from $61.75      ', '  MP3 CD  \n $27.99  \n\n\n   \n     1 New from $27.99      '], '1853262285')",9.56,24.0,Way of All Flesh,NTC/Contemporary Publishing Company,4,1995,Samuel Butler,3.61,"Written between 1873 and 1884 but not published until 1903, a year after Butler's death, his marvelously uninhibited satire savages Victorian bourgeois values as personified by multiple generations of the Pontifex family. A thinly veiled account of his own upbringing in the bosom of a God-fearing Christian family, Butler's scathingly funny depiction of the self-righteous hypocrisy underlying nineteenth-century domestic life was hailed by George Bernard Shaw as ""one of the summits of human achievement.""",,352.0,8332,327,862,2447,2779,1917
3515,0786187824,"(['  Hardcover  \n $5.99  \n\n\n   \n     16 Used from $5.99         1 Collectible from $45.00      ', '  Paperback  \n $14.57  \n\n\n   \n     2 Used from $14.57      ', '  Audio CD  \n $40.00  \n\n\n   \n     2 New from $23.09      '], '0786187824')",14.57,5.99,Risk,Blackstone Audiobooks,3,2007,Dick Francis,3.96,"Roland Britten, accountant and amateur jockey, awakens one morning to find he can't move his hands-because he is tied up with netting, held captive where no light penetrates and no amount of yelling will get any attention. But why?<br /><br />He knew that this was the latest in a series of events that had begun when he decided to ride in the Cheltenham Gold Cup, a race second only to the Grand National in the lives of British steeplechase riders. As an amateur jockey, Roland had pleased no one when he took Tapestry past the finish line first in what turned out to be the worst Gold Cup in history. As an accountant whose clientele included horse owners and jockeys alike, he also knew more about the private financial affairs of the racing world than any other person on the racecourse. Was winning the Gold Cup cause enough for his kidnapping? Or was it his knowledge of the books?",,6.0,3241,17,82,851,1363,928
3519,1582409641,"(['  Hardcover  \n $271.54  \n\n\n   \n     4 Used from $271.54      ', '  Paperback  \n $20.76  \n\n\n   \n     17 Used from $16.77         1 Collectible from $75.00      '], '1582409641')",20.76,271.54,Comic Book Tattoo,Image Comics,21,2008,Pia Guerra,4.09,"Over 80 of the best creators from every style and genre have contributed over 50 stories to this anthology featuring tales inspired by the songs of multi-platinum recording artist, Tori Amos!<br />Featuring an introduction by Neil Gaiman, with stories by creators such as Carla Speed McNeil, Mark Buckingham, C.B. Cebulski, Nikki Cook, Hope Larson, John Ney Reiber, Ryan Kelly, and many, many others, <i>Comic Book Tattoo</i> encapsulates the breadth, depth, and beauty of modern comics in this coffee table format book.<br />",,480.0,1059,22,65,185,312,475
3522,2226020837,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $5.99  \n\n\n   \n     32 Used from $1.17         3 Collectible from $8.60      ', '  Paperback  \n $1.56  \n\n\n   \n     8 Used from $1.56      ', '  Mass Market Paperback  \n $2.97  \n\n\n   \n     7 Used from $2.97      ', '  Audio CD  \n $14.99  \n\n\n   \n     6 Used from $5.90         5 New from $8.98      '], '2226020837')",1.56,5.99,Exocet,Albin Michel,0,1984,Jack Higgins,3.62,"Two British agents must prevent a devastating weapon from falling into enemy handsIn the hotly contested Falkland Islands, an underground struggle rages between Argentinean agents seeking to buy black-market Exocet missiles and the British officials who will do anything to stop them.British intelligence dispatches two operatives to prevent the spread of the state-of-the-art weapons, and the odds are stacked against them. Tony Villiers and Gabrielle Legrand must overcome their complicated past and take down the international arms dealer at the center of the conflict before two nations are brought to their knees.""Jack Higgins is the master."" -Tom ClancyJack Higgins is the New York Times bestselling author of more than sixty thrillers that have sold over 250 million copies worldwide, including The Eagle Has Landed and The Wolf at the Door. Before beginning his writing career, Higgins served in the British Army along the East German border. He lives in the Channel Islands.",,240.0,1042,16,93,383,329,221
3527,0393045420,"(['  Kindle  \n $12.60  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.22  \n\n\n   \n     21 Used from $2.25         4 Collectible from $9.00      ', '  Paperback  \n $20.24  \n\n\n   \n     47 Used from $1.37         15 New from $15.97      ', '  Audio, Cassette  \n    \n                             from $84.95                \n\n\n   \n     4 Used from $84.95      '], '0393045420')",20.24,6.22,Grace Notes,W. W. Norton & Company,1,1997,Bernard MacLaverty,3.75,"The luminous novel by one of the finest living Irish writers, which Brian Moore has praised as ""in every sense a triumph",,277.0,1247,30,79,364,474,300
3528,3866047606,"(['  Hardcover  \n $9.86  \n\n\n   \n     2 Used from $9.86      ', '  Paperback  \n $14.70  \n\n\n   \n     5 Used from $7.31         6 New from $9.99      ', '  Audio CD  \n $5.28  \n\n\n   \n     3 Used from $5.28         2 New from $53.61      '], '3866047606')",14.7,9.86,Der Lügner,Hörbuch-Editionen,5,2007,Stephen Fry,3.67,"Stephen Fry's breathtakingly outrageous debut novel, by turns eccentric, shocking, brilliantly comic and achingly romantic.<br />Adrian Healey is magnificently unprepared for the long littleness of life; unprepared too for the afternoon in Salzburg when he will witness the savage murder of a Hungarian violinist; unprepared to learn about the Mendax device; unprepared for more murders and wholly unprepared for the truth.<br /><i>The Liar</i> is a thrilling, sophisticated and laugh out loud hilarious novel from a brilliantly talented writer.",,312.0,11630,289,979,3455,4495,2412
3529,0758228724,"(['  Hardcover  \n $6.01  \n\n\n   \n     7 Used from $2.99         1 New from $13.00      ', '  Paperback  \n $6.11  \n\n\n   \n     21 Used from $3.00         1 New from $10.53         1 Collectible from $12.95      '], '0758228724')",6.11,6.01,Down In Texas,Aphrodisia,35,2008,Delilah Devlin,3.87,"Down in Texas, there's a little town called Honkeytonk, where the women get exactly what they want... and the men know just how to give it to them.<br /><br /><b>Wearing His Brand</b><br /><br />Lyssa McDonough just got tangled up in a coil of barbed wire, and her clothes are ripped to shreds. Rancher Brandon Tynan to the rescue--but why is she so ornery? Could it be that the whole state of Texas isn't big enough for the two of them? Hell, they'll still have to share one horse to get home. Lyssa better hang on tight--she's in for the wildest ride of her life...<br /><br /><b>Slow Ride</b><br /><br />Maggie Dermott doesn't know the first thing about horses and Daniel Tynan is more than willing to show her the ropes. His gentle ways melt her heart and his sensual passion burns away her inhibitions. Daniel takes the time to love her right.<br /><br /><b>Straight Up Soldier</b><br /><br />Suki Reece needs protection and she can see that Mac McDonough has the muscle. Too bad he can't stand taking orders from a woman. The rugged ex-Marine won't listen to a word she says until Suki distracts him with a sexy striptease. That gets his attention. Suki may have gotten the upper hand but Mac is going to be on top...",,240.0,502,15,25,125,181,156
3530,0783882777,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.32  \n\n\n   \n     7 Used from $6.99      ', '  Paperback  \n    \n                             from $19.82                \n\n\n   \n     2 New from $19.82      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     55 Used from $1.35         9 New from $7.17         1 Collectible from $24.50      ', '  Audio, Cassette  \n $39.95  \n\n\n   \n     1 New from $39.95      '], '0783882777')",8.99,7.32,The Chatham School Affair,Thorndike Press,1,1997,Thomas H. Cook,3.78,"A mesmerizing novel of betrayal, passion and death from the author of Breakheart Hill and Mortal Memory, this is an unabashed read-until-dawn page-turner for fans of first-class literary suspense. Cook paints a stunning portrait of a woman, a school, and a town in which passionate violence seems impossible--and inevitable.",,392.0,2120,26,167,582,827,518
3531,3548604331,"(['  Hardcover  \n $16.66  \n\n\n   \n     5 Used from $14.57         2 New from $128.07         1 Collectible from $18.00      ', '  Paperback  \n $10.42  \n\n\n   \n     4 Used from $10.41      '], '3548604331')",10.42,16.66,Königin des Südens,List Taschenbuch,1,2004,Arturo Pérez-Reverte,3.93,"In seinem neuen Roman, der in Spanien sofort nach Erscheinen zum Nr.1-Bestseller wurde, erzählt Arturo Pérez-Reverte die Geschichte der jungen Teresa Mendoza, die, um ihr Leben fürchtend, zur Legende wird und schließlich doch erkennt, dass sie ihre Ehre, Seele und Menschlichkeit verraten hat. Aus Liebe, aus Angst und aus dem Willen heraus zu überleben. Die atemberaubende Geschichte um eine schöne Frau und ihren Aufstieg in einem ungewöhnlich harten Milieu.",,557.0,11664,215,615,2603,4539,3692
